project_type,project_description,project_phase_name,project_status_name,dsf_number_s,failure
SCA CIP,Facade/roofs,Construction,In-Progress,"DSF: 0000821031, 0000822210",False
SCA CIP,Facade/roofs,"CM, F&E",In-Progress,"DSF: 0000821031, 0000822210",False
SCA CIP RESOA,Fy16 reso a ip surveillance camera installation,Scope,Complete,DSF: 0000823560,False
SCA CIP RESOA,Fy16 reso a ip surveillance camera installation,Design,In-Progress,DSF: 0000823560,True
SCA CIP RESOA,Fy16 reso a ip surveillance camera installation,Construction,PNS,DSF: 0000823560,False
SCA CIP RESOA,Fy16 reso a ip surveillance camera installation,"CM, F&E",PNS,DSF: 0000823560,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000844624,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845571,False
SCA CIP,Water penetration/roofs,Scope,Complete,"DSF: 0000820035, 0000866151",False
SCA CIP,Water penetration/roofs,Design,Complete,"DSF: 0000820035, 0000866151",False
SCA CIP,Water penetration/roofs,Construction,PNS,"DSF: 0000820035, 0000866151",False
SCA CIP,Water penetration/roofs,"CM, F&E",PNS,"DSF: 0000820035, 0000866151",False
DOE- RESOA,Fy15 reso a room conversions / part,Construction,PNS,DSF: 0000800475,False
SCA FURNITURE & EQUI,Fy17 reso a mobile science lab,F&E,Complete,DSF: 0000845399,False
TRUST FOR PUBLIC LAN,Fy18 reso a playgrounds,Scope,PNS,DSF: 0000866453,False
TRUST FOR PUBLIC LAN,Fy18 reso a playgrounds,Design,PNS,DSF: 0000866453,False
TRUST FOR PUBLIC LAN,Fy18 reso a playgrounds,Construction,PNS,DSF: 0000866453,False
TRUST FOR PUBLIC LAN,Fy18 reso a playgrounds,F&E,PNS,DSF: 0000866453,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845054,False
SCA CAPACITY,New school,Scope,In-Progress,DSF: 0000798177,False
SCA CAPACITY,New school,Design,PNS,DSF: 0000798177,False
SCA CAPACITY,New school,Construction,PNS,DSF: 0000798177,False
SCA CAPACITY,New school,"CM,Art,F&E",PNS,DSF: 0000798177,False
SCA CIP RESOA,Fy18 reso a playgrounds,Scope,PNS,DSF: 0000866428,True
SCA CIP RESOA,Fy18 reso a playgrounds,Design,PNS,DSF: 0000866428,False
SCA CIP RESOA,Fy18 reso a playgrounds,Construction,PNS,DSF: 0000866428,False
SCA CIP RESOA,Fy18 reso a playgrounds,"CM, F&E",PNS,DSF: 0000866428,False
SCA CIP,Paved areas concrete,Scope,Complete,DSF: 0000799913,True
SCA CIP,Paved areas concrete,Design,Complete,DSF: 0000799913,True
SCA CIP,Paved areas concrete,Construction,In-Progress,DSF: 0000799913,False
SCA CIP,Paved areas concrete,"CM, F&E",In-Progress,DSF: 0000799913,False
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Scope,PNS,DSF: 0000867305,True
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Design,PNS,DSF: 0000867305,False
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Construction,PNS,DSF: 0000867305,False
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,"CM, F&E",PNS,DSF: 0000867305,False
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Scope,PNS,DSF: 0000867312,True
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Design,PNS,DSF: 0000867312,True
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Construction,PNS,DSF: 0000867312,True
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,"CM, F&E",PNS,DSF: 0000867312,True
DIIT - RESOA,Fy17 reso a technology,Purch & Install,In-Progress,DSF: 0000845056,True
SCA CIP,Boiler for swimming,Scope,Complete,DSF: 0000775984,False
SCA CIP,Boiler for swimming,Design,Complete,DSF: 0000775984,False
SCA CIP,Boiler for swimming,Construction,In-Progress,DSF: 0000775984,False
SCA CIP,Boiler for swimming,"CM, F&E",In-Progress,DSF: 0000775984,True
SCA CIP,Ip surveillance cameras,Scope,Complete,DSF: 0000843858,True
SCA CIP,Ip surveillance cameras,Design,Complete,DSF: 0000843858,True
SCA CIP,Ip surveillance cameras,Construction,In-Progress,DSF: 0000843858,False
SCA CIP,Ip surveillance cameras,"CM, F&E",In-Progress,DSF: 0000843858,False
SCA CIP RESOA,Fy18 reso a library upgrades,Scope,PNS,DSF: 0000866411,True
SCA CIP RESOA,Fy18 reso a library upgrades,Design,PNS,DSF: 0000866411,False
SCA CIP RESOA,Fy18 reso a library upgrades,Construction,PNS,DSF: 0000866411,False
SCA CIP RESOA,Fy18 reso a library upgrades,"CM, F&E",PNS,DSF: 0000866411,False
DOE- RESOA,Fy14 reso a room conversions / part,Construction,PNS,DSF: 0000798838,False
DOE - SKILLED TRADES,Ada shelter compliance,Construction,In-Progress,DSF: 0000865882,False
SCA CIP,Roofs/parapets/ext masonry/windows,Scope,Complete,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",True
SCA CIP,Roofs/parapets/ext masonry/windows,Design,Complete,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",False
SCA CIP,Roofs/parapets/ext masonry/windows,Construction,In-Progress,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",False
SCA CIP,Roofs/parapets/ext masonry/windows,"CM, F&E",In-Progress,"DSF: 0000774339, 0000774340, 0000774341, 0000775991",False
SCA CIP,Ip surveillance cameras,Scope,Complete,DSF: 0000843859,False
SCA CIP,Ip surveillance cameras,Design,Complete,DSF: 0000843859,False
SCA CIP,Ip surveillance cameras,Construction,In-Progress,DSF: 0000843859,False
SCA CIP,Ip surveillance cameras,"CM, F&E",In-Progress,DSF: 0000843859,False
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Construction,PNS,DSF: 0000866424,False
SCA CIP RESOA,Fy16 reso a library upgrade,Scope,Complete,DSF: 0000822352,False
SCA CIP RESOA,Fy16 reso a library upgrade,Design,Complete,DSF: 0000822352,False
SCA CIP RESOA,Fy16 reso a library upgrade,Construction,In-Progress,DSF: 0000822352,False
SCA CIP RESOA,Fy16 reso a library upgrade,"CM, F&E",In-Progress,DSF: 0000822352,False
SCA IEH,Ieh po18-stage electrical panel,Construction,Complete,DSF: 0000043425,False
SCA IEH,"Ieh po18-custodians toilet,girls locker rm vestibu",Construction,Complete,DSF: 0000046168,False
SCA CIP,Exterior masonry/flood elimination/parapets/roof,Scope,Complete,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False
SCA CIP,Exterior masonry/flood elimination/parapets/roof,Design,Complete,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False
SCA CIP,Exterior masonry/flood elimination/parapets/roof,Construction,In-Progress,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False
SCA CIP,Exterior masonry/flood elimination/parapets/roof,"CM, F&E",In-Progress,"DSF: 0000754569, 0000797100, 0000798647, 0000821913",False
SCA CIP,Gym upgrade,Scope,Complete,DSF: 0000774374,False
SCA CIP,Gym upgrade,Design,Complete,DSF: 0000774374,False
SCA CIP,Gym upgrade,Construction,PNS,DSF: 0000774374,False
SCA CIP,Gym upgrade,"CM, F&E",PNS,DSF: 0000774374,False
SCA CIP,Ip digital video surveillance system,Scope,Complete,DSF: 0000867078,False
SCA CIP,Ip digital video surveillance system,Design,In-Progress,DSF: 0000867078,False
SCA CIP,Ip digital video surveillance system,Construction,PNS,DSF: 0000867078,False
SCA CIP,Ip digital video surveillance system,"CM, F&E",PNS,DSF: 0000867078,False
SCA CIP RESOA,Fy15 reso a cafeteria upgrade,Scope,Complete,DSF: 0000800078,False
SCA CIP RESOA,Fy15 reso a cafeteria upgrade,Design,PNS,DSF: 0000800078,False
SCA CIP RESOA,Fy15 reso a cafeteria upgrade,Construction,PNS,DSF: 0000800078,False
SCA CIP RESOA,Fy15 reso a cafeteria upgrade,"CM, F&E",PNS,DSF: 0000800078,False
SCA CIP RESOA,Auditorium upgrade,Scope,In-Progress,DSF: 0000800415,True
SCA CIP RESOA,Auditorium upgrade,Design,PNS,DSF: 0000800415,False
SCA CIP RESOA,Auditorium upgrade,Construction,PNS,DSF: 0000800415,False
SCA CIP RESOA,Auditorium upgrade,"CM, F&E",PNS,DSF: 0000800415,False
SCA IEH,Ieh po18-bathroom #191,Construction,In-Progress,DSF: 0000049508,False
DOE - LEAD PAINT,Lead paint abatement,Construction,In-Progress,DSF:,False
DOE- RESOA,Fy17 reso a hydroponic classroom,Construction,In-Progress,DSF: 0000845041,False
DOE - SKILLED TRADES,Bathroom upgrade,Construction,In-Progress,DSF: 0000866080,False
DOE - SKILLED TRADES,Elevator modernization,Construction,In-Progress,DSF: 0000867029,True
PRE-K,Lease,Scope,Complete,DSF: 0000822032,False
PRE-K,Lease,Design,Complete,DSF: 0000822032,False
PRE-K,Lease,Construction,Complete,DSF: 0000822032,False
PRE-K,Lease,"CM, F&E",Complete,DSF: 0000822032,False
SCA CIP,Roof replacement/parapets,Scope,Complete,"DSF: 0000820291, 0000822171",False
SCA CIP,Roof replacement/parapets,Design,Complete,"DSF: 0000820291, 0000822171",False
SCA CIP,Roof replacement/parapets,Construction,In-Progress,"DSF: 0000820291, 0000822171",False
SCA CIP,Roof replacement/parapets,"CM, F&E",In-Progress,"DSF: 0000820291, 0000822171",False
SCA CIP,Gym ceiling,Scope,Complete,DSF: 0000864171,False
SCA CIP,Gym ceiling,Design,Complete,DSF: 0000864171,False
SCA CIP,Gym ceiling,Construction,PNS,DSF: 0000864171,False
SCA CIP,Gym ceiling,"CM, F&E",PNS,DSF: 0000864171,False
SCA IEH,"Ieh po18-rooms 029,029b,109,124",Construction,Complete,DSF: 0000045438,False
SCA IEH,Ieh po18-auditorium,Construction,Complete,DSF: 0000047766,False
DOE- RESOA,Fy14 reso a room conversions / part,Construction,PNS,DSF: 0000798839,False
SCA CAPACITY,New school,Scope,In-Progress,DSF: 0000798176,True
SCA CAPACITY,New school,Design,PNS,DSF: 0000798176,False
SCA CAPACITY,New school,Construction,PNS,DSF: 0000798176,False
SCA CAPACITY,New school,"CM,Art,F&E",PNS,DSF: 0000798176,False
SCA CIP,Early pkg.- detention tank,Scope,Complete,DSF: 0000798176,True
SCA CIP,Early pkg.- detention tank,Design,In-Progress,DSF: 0000798176,True
SCA CIP,Early pkg.- detention tank,Construction,PNS,DSF: 0000798176,False
SCA CIP,Early pkg.- detention tank,"CM, F&E",PNS,DSF: 0000798176,False
SCA CIP,Science lab upgrade,Scope,Complete,DSF: 0000753048,False
SCA CIP,Science lab upgrade,Design,Complete,DSF: 0000753048,False
SCA CIP,Science lab upgrade,Construction,Complete,DSF: 0000753048,False
SCA CIP,Science lab upgrade,"CM, F&E",Complete,DSF: 0000753048,False
SCA CIP,Ext masonry/flood/parapets/roofs,Scope,Complete,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False
SCA CIP,Ext masonry/flood/parapets/roofs,Design,Complete,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,"CM, F&E",PNS,DSF: 0000866424,False
SCA CIP,Ext masonry/flood/parapets/roofs,Construction,In-Progress,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False
SCA CIP,Ext masonry/flood/parapets/roofs,"CM, F&E",In-Progress,"DSF: 0000797229, 0000820383, 0000820385, 0000820386",False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845312,False
DOE - SKILLED TRADES,Bathroom upgrade,Construction,In-Progress,DSF: 0000866013,False
SCA CIP,Work required to obtain c of o,Scope,Complete,DSF: 0000622222,True
SCA CIP,Work required to obtain c of o,Design,Complete,DSF: 0000622222,True
SCA CIP,Work required to obtain c of o,Construction,PNS,DSF: 0000622222,False
SCA CIP,Work required to obtain c of o,"CM, F&E",PNS,DSF: 0000622222,False
SCA IEH,Ieh po18-basement it office and server room,Construction,Complete,DSF: 0000048048,False
SCA CIP RESOA,Fy15 reso a security cameras,Scope,Complete,DSF: 0000800742,False
SCA CIP RESOA,Fy15 reso a security cameras,Design,Complete,DSF: 0000800742,False
SCA CIP RESOA,Fy15 reso a security cameras,Construction,In-Progress,DSF: 0000800742,False
SCA CIP RESOA,Fy15 reso a security cameras,"CM, F&E",In-Progress,DSF: 0000800742,False
